# Airport timezone reference.
#
# Source: OpenFlights airports.dat (https://github.com/jpatokal/openflights), IATA code and
#   "Tz database time zone" columns, retrieved 2026-08-05.
# Scope: only the airports appearing as an origin or destination in the ingested BTS month.
# Manual entries: BIH, EAR, XWA are absent from OpenFlights; their zones are stated in
#   scripts/build_reference.py with justification.
# Validation: every row is cross-checked against the offset implied by CRSElapsedTime versus
#   local-time deltas per city pair (flightops.ingest.timezones). That derivation is a check,
#   not the source, because it is fragile around DST transitions and the 2400 convention.
iata,city,iana_timezone,source
MHT,Manchester NH,America/New_York,openflights
MIA,Miami,America/New_York,openflights
MKE,Milwaukee,America/Chicago,openflights
MLB,Melbourne,America/New_York,openflights
MLI,Moline,America/Chicago,openflights
MLU,Monroe,America/Chicago,openflights
MOB,Mobile,America/Chicago,openflights
MOT,Minot,America/Chicago,openflights
MQT,Gwinn,America/New_York,openflights
MRY,Monterey,America/Los_Angeles,openflights
MSN,Madison,America/Chicago,openflights
MSO,Missoula,America/Denver,openflights
MSP,Minneapolis,America/Chicago,openflights
MSY,New Orleans,America/Chicago,openflights
MTJ,Montrose CO,America/Denver,openflights
MYR,Myrtle Beach,America/New_York,openflights
OAJ,Jacksonville NC,America/New_York,openflights
OAK,Oakland,America/Los_Angeles,openflights
OGG,Kahului,Pacific/Honolulu,openflights
OKC,Oklahoma City,America/Chicago,openflights
OMA,Omaha,America/Chicago,openflights
OME,Nome,America/Anchorage,openflights
ONT,Ontario,America/Los_Angeles,openflights
ORD,Chicago,America/Chicago,openflights
ORF,Norfolk,America/New_York,openflights
ORH,Worcester,America/New_York,openflights
OTH,North Bend,America/Los_Angeles,openflights
OTZ,Kotzebue,America/Anchorage,openflights
PAE,Everett,America/Los_Angeles,openflights
PBG,Plattsburgh,America/New_York,openflights
PBI,West Palm Beach,America/New_York,openflights
PDX,Portland,America/Los_Angeles,openflights
PGD,Punta Gorda,America/New_York,openflights
PHL,Philadelphia,America/New_York,openflights
PHX,Phoenix,America/Phoenix,openflights
PIA,Peoria,America/Chicago,openflights
PIB,Hattiesburg/Laurel,America/Chicago,openflights
PIE,St. Petersburg,America/New_York,openflights
PIH,Pocatello,America/Denver,openflights
PIR,Pierre,America/Chicago,openflights
PIT,Pittsburgh,America/New_York,openflights
PLN,Pellston,America/New_York,openflights
PNS,Pensacola,America/Chicago,openflights
PPG,Pago Pago,Pacific/Pago_Pago,openflights
PQI,Presque Isle,America/New_York,openflights
PRC,Prescott,America/Phoenix,openflights
PSC,Pasco,America/Los_Angeles,openflights
PSE,Ponce,America/Puerto_Rico,openflights
PSG,Petersburg,America/Anchorage,openflights
PSM,Portsmouth,America/New_York,openflights
PSP,Palm Springs,America/Los_Angeles,openflights
PVD,Providence,America/New_York,openflights
PVU,Provo,America/Denver,openflights
PWM,Portland,America/New_York,openflights
RAP,Rapid City,America/Denver,openflights
RDD,Redding,America/Los_Angeles,openflights
RDM,Redmond-Bend,America/Los_Angeles,openflights
RDU,Raleigh-durham,America/New_York,openflights
RFD,Rockford,America/Chicago,openflights
RHI,Rhinelander,America/Chicago,openflights
RIC,Richmond,America/New_York,openflights
RIW,Riverton WY,America/Denver,openflights
RKS,Rock Springs,America/Denver,openflights
RNO,Reno,America/Los_Angeles,openflights
ROA,Roanoke VA,America/New_York,openflights
ROC,Rochester,America/New_York,openflights
ROW,Roswell,America/Denver,openflights
RST,Rochester,America/Chicago,openflights
RSW,Fort Myers,America/New_York,openflights
SAF,Santa Fe,America/Denver,openflights
SAN,San Diego,America/Los_Angeles,openflights
SAT,San Antonio,America/Chicago,openflights
SAV,Savannah,America/New_York,openflights
SBA,Santa Barbara,America/Los_Angeles,openflights
SBN,South Bend,America/New_York,openflights
